Node: 104.23.113.46, Ping: 280.063 ms, Download Speed: 3087239.29 Mbps
Node: 104.23.113.47, Ping: 280.063 ms, Download Speed: 3619557.81 Mbps
Node: 104.23.113.48, Ping: 255.975 ms, Download Speed: 1687875.22 Mbps
Node: 104.23.113.49, Ping: 255.975 ms, Download Speed: 2339561.66 Mbps
Node: 104.23.113.50, Ping: 255.975 ms, Download Speed: 2965318.49 Mbps
Node: 104.23.113.51, Ping: 248.468 ms, Download Speed: 2876543.63 Mbps
Node: 104.23.113.52, Ping: 258.954 ms, Download Speed: 5831591.71 Mbps
Node: 104.23.113.53, Ping: 253.551 ms, Download Speed: 3578244.85 Mbps
Node: 104.23.113.54, Ping: 253.204 ms, Download Speed: 4531034.18 Mbps
Node: 104.23.113.55, Ping: 253.204 ms, Download Speed: 845216.43 Mbps
Node: 104.23.113.56, Ping: 254.886 ms, Download Speed: 3438449.52 Mbps
Node: 104.23.113.57, Ping: 254.886 ms, Download Speed: 3318114.41 Mbps
Node: 104.23.113.58, Ping: 254.886 ms, Download Speed: 2137863.26 Mbps
Node: 104.23.113.59, Ping: 254.886 ms, Download Speed: 4517214.24 Mbps
Node: 104.23.113.60, Ping: 259.954 ms, Download Speed: 759579.67 Mbps
Node: 104.23.113.61, Ping: 259.954 ms, Download Speed: 2787129.98 Mbps
Node: 104.23.113.62, Ping: 432.763 ms, Download Speed: 2018216.86 Mbps
Node: 104.23.113.63, Ping: 432.763 ms, Download Speed: 2022969.85 Mbps
Node: 104.23.113.65, Ping: 432.763 ms, Download Speed: 3850952.48 Mbps
Node: 104.23.113.66, Ping: 386.584 ms, Download Speed: 942147.39 Mbps
Node: 104.23.113.67, Ping: 515.300 ms, Download Speed: 4524828.59 Mbps
Node: 104.23.113.68, Ping: 280.705 ms, Download Speed: 645413.29 Mbps
Node: 104.23.113.69, Ping: 294.882 ms, Download Speed: 2876350.99 Mbps
Node: 104.23.113.70, Ping: 276.683 ms, Download Speed: 3846469.01 Mbps
Node: 104.23.113.71, Ping: 276.683 ms, Download Speed: 3832055.05 Mbps
Node: 104.23.113.72, Ping: 276.683 ms, Download Speed: 4046130.28 Mbps
Node: 104.23.113.73, Ping: 255.659 ms, Download Speed: 3611947.94 Mbps
Node: 104.23.113.74, Ping: 244.943 ms, Download Speed: 2230340.81 Mbps
Node: 104.23.113.75, Ping: 486.842 ms, Download Speed: 3493831.69 Mbps
Node: 104.23.113.76, Ping: 486.842 ms, Download Speed: 1303678.04 Mbps
Node: 104.23.113.77, Ping: 486.842 ms, Download Speed: 4037761.87 Mbps
Node: 104.23.113.78, Ping: 291.157 ms, Download Speed: 3930960.37 Mbps
Node: 104.23.113.79, Ping: 291.157 ms, Download Speed: 233283.94 Mbps
Node: 104.23.113.80, Ping: 291.157 ms, Download Speed: 3733455.58 Mbps
Node: 104.23.113.81, Ping: 365.665 ms, Download Speed: 8285044.94 Mbps
Node: 104.23.113.82, Ping: 365.665 ms, Download Speed: 3419015.52 Mbps
